"System","File","Line","UsageKind","FreeCallPresentInFile","Evidence"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/ChallengeGames/TeamKotHGauntlet.cs","403","DirectForeachRangeScan","No","foreach (Mobile p in this.GetMobilesInRange(0))"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/XmlUtils/WriteMulti.cs","265","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = map.GetItemsInBounds("
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/XmlUtils/WriteMulti.cs","293","RangeScan","Yes","eable = map.GetItemsInBounds("
"Items:Boats","Data/Scripts/Items/Boats/BaseBoat.cs","1155","DirectForeachRangeScan","Yes","foreach (Item i in sailors.GetItemsInRange(20))"
"Items:Boats","Data/Scripts/Items/Boats/BaseBoat.cs","1308","DirectForeachRangeScan","Yes","foreach (Mobile m in from.GetMobilesInRange(20))"
"Items:Boats","Data/Scripts/Items/Boats/BaseBoat.cs","1335","DirectForeachRangeScan","Yes","foreach (Item i in bc.GetItemsInRange(10))"
"Items:Boats","Data/Scripts/Items/Boats/BaseBoat.cs","1653","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = map.GetObjectsInBounds("
"Items:Boats","Data/Scripts/Items/Boats/BaseBoat.cs","2359","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = map.GetItemsInBounds("
"Items:Boats","Data/Scripts/Items/Boats/BaseBoat.cs","2666","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = this.Map.GetObjectsInBounds("
"Items:Boats","Data/Scripts/Items/Boats/BaseBoat.cs","2764","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = Map.GetObjectsInBounds("
"Items:Boats","Data/Scripts/Items/Boats/BoatBuild.cs","94","DirectForeachRangeScan","No","foreach (Mobile m in this.GetMobilesInRange(20))"
"Items:Boats","Data/Scripts/Items/Boats/CarpetBuild.cs","88","DirectForeachRangeScan","No","foreach (Mobile m in this.GetMobilesInRange(20))"
"Items:Boats","Data/Scripts/Items/Boats/DockingLantern.cs","143","DirectForeachRangeScan","No","foreach (Item lantern in m.GetItemsInRange(DockRange))"
"Items:Boats","Data/Scripts/Items/Boats/Plank.cs","353","DirectForeachRangeScan","No","foreach (object o in this.GetObjectsInRange(0))"
"Items:Books","Data/Scripts/Items/Books/MerchantsBook.cs","865","DirectForeachRangeScan","No","foreach (Mobile who in from.GetMobilesInRange(15))"
"Items:Books","Data/Scripts/Items/Books/MerchantsBook.cs","939","DirectForeachRangeScan","No","foreach (Item tome in from.GetItemsInRange(10))"
"Items:Books","Data/Scripts/Items/Books/MerchantsBook.cs","1402","DirectForeachRangeScan","No","foreach (Mobile who in from.GetMobilesInRange(10))"
"Items:Books","Data/Scripts/Items/Books/MerchantsBook.cs","1582","DirectForeachRangeScan","No","foreach (Mobile who in from.GetMobilesInRange(10))"
"Items:Construction","Data/Scripts/Items/Construction/Addons/SHTeleporter.cs","197","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = map.GetItemsInRange(p, 0);"
"Items:Containers","Data/Scripts/Items/Containers/FillableContainers.cs","1493","DirectForeachRangeScan","No","foreach (Mobile mob in map.GetMobilesInRange(loc, 20))"
"Items:Containers","Data/Scripts/Items/Containers/MarkContainer.cs","37","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = map.GetItemsInRange(p, 0);"
"Items:Doors","Data/Scripts/Items/Doors/BaseDoor.cs","46","DirectForeachRangeScan","No","foreach (Item item in door.GetItemsInRange(1))"
"Items:Doors","Data/Scripts/Items/Doors/BaseDoor.cs","61","DirectForeachRangeScan","No","foreach (Item item in door.GetItemsInRange(1))"
"Items:Doors","Data/Scripts/Items/Doors/BasementDoor.cs","238","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = mWorld.GetItemsInRange(loc, 4);"
"Items:Doors","Data/Scripts/Items/Doors/BasementDoorway.cs","142","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = mWorld.GetItemsInRange(loc, 4);"
"Items:Doors","Data/Scripts/Items/Doors/DoorOpener.cs","32","DirectForeachRangeScan","No","foreach (Item item in m.GetItemsInRange(2))"
"Items:Doors","Data/Scripts/Items/Doors/GateMoon.cs","161","DirectForeachRangeScan","No","foreach (Item i in from.GetItemsInRange(10))"
"Items:Explorers","Data/Scripts/Items/Explorers/Bedroll.cs","38","DirectForeachRangeScan","No","foreach (Item i in GetItemsInRange(20))"
"Items:Explorers","Data/Scripts/Items/Explorers/BedrolledOut.cs","63","DirectForeachRangeScan","No","foreach (Mobile m in GetMobilesInRange(3))"
"Items:Explorers","Data/Scripts/Items/Explorers/Campfire.cs","103","DirectForeachRangeScan","No","foreach (Mobile m in GetMobilesInRange(3))"
"Items:Explorers","Data/Scripts/Items/Explorers/Kindling.cs","50","DirectForeachRangeScan","No","foreach (Mobile m in from.GetMobilesInRange(20))"
"Items:Explorers","Data/Scripts/Items/Explorers/Kindling.cs","84","DirectForeachRangeScan","No","foreach (Item i in GetItemsInRange(20))"
"Items:Food","Data/Scripts/Items/Food/Waterskin.cs","398","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = map.GetItemsInRange(from.Location, range);"
"Items:Gifts","Data/Scripts/Items/Gifts/Holiday/Christmas/Commands/Merry Christmas.cs","44","DirectForeachRangeScan","No","foreach (Mobile m in from.GetMobilesInRange(3)) // TODO: Validate range"
"Items:Gifts","Data/Scripts/Items/Gifts/Holiday/Halloween/TrickOrTreat.cs","43","DirectForeachRangeScan","No","foreach (Mobile m in from.GetMobilesInRange(2)) // TODO: Validate range"
