"Path","Root","PrimaryRole","SecondaryRoles","System","Namespace","Types","IncludedInScriptsProject","ProjectTruthAction","Commands","Hooks","SerializedTypes","Gumps","ConfigData","Evidence"
"Data/Scripts/Mobiles/Daemons/Xurtzar.cs","Mobiles","StartupWiring","Persistence;MobileContent","Mobiles:Daemons","Server.Mobiles","class:Xurtzar;class:XurtzarChest;class:ItemRemovalTimer","True","Keep","","CustomTimerSubclass","class:Xurtzar;class:XurtzarChest;class:ItemRemovalTimer","","","Mobiles root; serialization marker; startup/event/timer/world marker"
"Data/Scripts/Mobiles/Dragons/Dragonogre.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:Dragonogre","True","Keep","","","class:Dragonogre","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/DragonTurtle.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:DragonTurtle","True","Keep","","","class:DragonTurtle","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Drakkhen.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:DrakkhenRed;class:DrakkhenBlack","True","Keep","","","class:DrakkhenRed;class:DrakkhenBlack","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Dragons/AsianDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:AsianDragon","True","Keep","","","class:AsianDragon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Dragons/DragonGolem.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:DragonGolem","True","Keep","","","class:DragonGolem","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Dragons/Dragons.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:Dragons","True","Keep","","","class:Dragons","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Dragons/Dragoon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:Dragoon","True","Keep","","","class:Dragoon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Dragons/GemDragons.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:GemDragon","True","Keep","","","class:GemDragon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Dragons/RidingDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:RidingDragon","True","Keep","","","class:RidingDragon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Dragons/SeaDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:SeaDragon","True","Keep","","","class:SeaDragon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Drakes/AbysmalDrake.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:AbysmalDrake","True","Keep","","","class:AbysmalDrake","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Drakes/AncientDrake.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:AncientDrake","True","Keep","","","class:AncientDrake","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Drakes/Drake.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:Drake","True","Keep","","","class:Drake","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Drakes/SeaDrake.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:SeaDrake","True","Keep","","","class:SeaDrake","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Drakes/SwampDrakeRiding.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:SwampDrakeRiding","True","Keep","","","class:SwampDrakeRiding","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Great Dragons/AshDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:AshDragon","True","Keep","","","class:AshDragon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Dragons/Great Dragons/BottleDragon.cs","Mobiles","Persistence","MobileContent","Mobiles:Dragons","Server.Mobiles","class:BottleDragon","True","Keep","","","class:BottleDragon","","","Mobiles root; serialization marker"
