"RecordType","Path","IncludePath","ExistsOnDisk","IncludedInScriptsProject","MissingCompileTarget","UnincludedSource","GeneratedOrOutput","DriftClass","LikelySystem","RuntimeMarkers","Types","Action"
"ProjectInclude","Data/Scripts/Custom/Champions/System/CannedEvil/SliceTimer.cs","Custom\Champions\System\CannedEvil\SliceTimer.cs","True","True","False","False","False","","Custom:Champions","CustomTimerSubclass","class:SliceTimer","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/System/Items/ChampionSkull.cs","Custom\Champions\System\Items\ChampionSkull.cs","True","True","False","False","False","","Custom:Champions","","class:ChampionSkull","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/System/Mobiles/BaseChampion.cs","Custom\Champions\System\Mobiles\BaseChampion.cs","True","True","False","False","False","","Custom:Champions","CustomTimerSubclass","class:BaseChampion;class:GoodiesTimer","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Twaulo.cs","Custom\Champions\Mobiles\Champs-UO\Twaulo.cs","True","True","False","False","False","","Custom:Champions","","class:Twaulo","Keep"
"ProjectInclude","Data/Scripts/Custom/ChangeSeason/ChangeSeason.cs","Custom\ChangeSeason\ChangeSeason.cs","True","True","False","False","False","","Custom:ChangeSeason","CommandSystem.Register;Initialize","class:ChangeSeason","Keep"
"ProjectInclude","Data/Scripts/Custom/Character Swap/CharacterSwap.cs","Custom\Character Swap\CharacterSwap.cs","True","True","False","False","False","","Custom:Character Swap","CommandSystem.Register;Initialize;OnResponse;SendGump","class:CharacterControlGump;class:SwapInfo","Keep"
"ProjectInclude","Data/Scripts/Custom/ClearDeckCommand/ClearDeckCommand.cs","Custom\ClearDeckCommand\ClearDeckCommand.cs","True","True","False","False","False","","Custom:ClearDeckCommand","CommandSystem.Register;Initialize","class:ClearDeckCommand","Keep"
"ProjectInclude","Data/Scripts/Custom/CloneOfflinePlayerCharacters/CloneOfflinePlayerCharacters.cs","Custom\CloneOfflinePlayerCharacters\CloneOfflinePlayerCharacters.cs","True","True","False","False","False","","Custom:CloneOfflinePlayerCharacters","EventSink;Initialize;OnLogin;OnLogout","class:CloneOfflinePlayerCharacters","Keep"
"ProjectInclude","Data/Scripts/Custom/CloneOfflinePlayerCharacters/BackpackClone.cs","Custom\CloneOfflinePlayerCharacters\BackpackClone.cs","True","True","False","False","False","","Custom:CloneOfflinePlayerCharacters","","class:BackpackClone","Keep"
"ProjectInclude","Data/Scripts/Custom/CloneOfflinePlayerCharacters/CharacterClone.cs","Custom\CloneOfflinePlayerCharacters\CharacterClone.cs","True","True","False","False","False","","Custom:CloneOfflinePlayerCharacters","CustomTimerSubclass","class:CharacterClone;class:PayTimer;class:HireEntry","Keep"
"ProjectInclude","Data/Scripts/Custom/CloneOfflinePlayerCharacters/CheckClonesCommand.cs","Custom\CloneOfflinePlayerCharacters\CheckClonesCommand.cs","True","True","False","False","False","","Custom:CloneOfflinePlayerCharacters","CommandSystem.Register;Initialize","class:CheckClonesCommand","Keep"
"ProjectInclude","Data/Scripts/Custom/CloneOfflinePlayerCharacters/CloneThings.cs","Custom\CloneOfflinePlayerCharacters\CloneThings.cs","True","True","False","False","False","","Custom:CloneOfflinePlayerCharacters","","class:CloneThings","Keep"
"ProjectInclude","Data/Scripts/Custom/CloneOfflinePlayerCharacters/EtherealMountClone.cs","Custom\CloneOfflinePlayerCharacters\EtherealMountClone.cs","True","True","False","False","False","","Custom:CloneOfflinePlayerCharacters","","class:EtherealMountClone","Keep"
"ProjectInclude","Data/Scripts/Custom/CloneOfflinePlayerCharacters/MountClone.cs","Custom\CloneOfflinePlayerCharacters\MountClone.cs","True","True","False","False","False","","Custom:CloneOfflinePlayerCharacters","","class:MountClone","Keep"
"ProjectInclude","Data/Scripts/Custom/Government System/CityEnums.cs","Custom\Government System\CityEnums.cs","True","True","False","False","False","","Custom:Government System","","enum:CivicStrutureType;enum:CivicSignType;class:CityTypes","Keep"
